,trial_index,arm_name,trial_status,generation_method,mse,optimizer,learning_rate,batch_size,momentum,weight_decay,hidden_dimension,embedding_dimension,codebook_size,commitment_weight
40,40,40_0,COMPLETED,BoTorch,0.09446750927692765,adam,0.010627720387387704,32,0.999,1e-06,256,512,64,8.312706056114
41,41,41_0,COMPLETED,BoTorch,0.34495222900703454,adam,0.00064662413108452,32,0.999,1e-06,256,512,64,7.59735848586601
42,42,42_0,COMPLETED,BoTorch,0.13260343628134696,adam,0.00031569767292932086,32,0.999,1e-06,16,512,64,5.408555380444681
43,43,43_0,COMPLETED,BoTorch,0.270177398622036,adam,0.09360473286500205,256,0.39737578160007614,1e-06,16,16,64,4.773867321070523
44,44,44_0,COMPLETED,BoTorch,0.5307415038347244,adamax,0.0491441656685082,256,0.999,1e-06,32,512,64,5.513024778058945
45,45,45_0,COMPLETED,BoTorch,0.5827933236767974,adamax,0.003259976465846064,64,0.999,1e-06,128,64,64,9.89618765352573
46,46,46_0,COMPLETED,BoTorch,0.23995763212442398,adam,0.0022613818135124903,128,0.999,1e-06,16,512,64,6.4379448063158575
47,47,47_0,COMPLETED,BoTorch,4.458539307117462,adamax,0.00271513459243364,128,0.999,1e-06,16,512,64,7.13107142594735
48,48,48_0,COMPLETED,BoTorch,20.989308977127074,adamax,0.1,128,0.999,0.1,256,512,64,8.119394783585939
49,49,49_0,COMPLETED,BoTorch,0.17373917028307914,adam,0.00042086056318523977,256,0.999,1e-06,16,16,1024,6.2121783915932705
50,50,50_0,COMPLETED,BoTorch,0.445560632249977,adamax,0.0007470930287324246,64,0.3963162714263467,1e-06,64,32,64,10.0
51,51,51_0,COMPLETED,BoTorch,0.175857774913311,adam,0.09282262259398152,256,0.999,0.1,32,512,64,4.2409643052767985
52,52,52_0,COMPLETED,BoTorch,0.40562613904476164,adamax,0.1,512,0.999,1e-06,16,16,512,4.635133167536629
53,53,53_0,COMPLETED,BoTorch,0.16031433765295963,adam,0.0006307694359017099,32,0.999,1e-06,128,512,64,8.803438267860244
54,54,54_0,COMPLETED,BoTorch,0.11005650870501996,adam,0.06568614413936524,128,0.30867992570226477,0.1,16,32,1024,1.331397627741258
55,55,55_0,COMPLETED,BoTorch,0.5787975393235684,adamax,0.05298637872620261,128,0.999,1e-06,16,512,64,4.685087606552166
56,56,56_0,COMPLETED,BoTorch,0.22598626756969886,adam,0.0013464429356479732,64,0.999,1e-06,256,16,256,9.887503824238618
57,57,57_0,COMPLETED,BoTorch,0.13506237976253033,adam,0.000650783870054123,128,0.999,0.1,16,16,1024,5.982785680154157
58,58,58_0,COMPLETED,BoTorch,0.09362124390900135,adam,0.0006617215025023637,128,0.0,1e-06,16,16,64,5.6576464796384265
59,59,59_0,COMPLETED,BoTorch,0.7603394039876902,adamax,0.001607884575281342,32,0.999,1e-06,256,512,64,10.0
60,60,60_0,COMPLETED,BoTorch,14.858804186438299,adam,1e-06,32,0.3692504915552245,1.4504405029069046e-05,32,128,256,10.0
61,61,61_0,COMPLETED,BoTorch,0.7267142556890657,adam,0.07723540840434577,64,0.999,1e-06,256,512,64,8.113669342476939
62,62,62_0,COMPLETED,BoTorch,0.08197208688517285,adam,0.006082443467366621,32,0.0,1e-06,16,512,64,6.4133700651653855
63,63,63_0,COMPLETED,BoTorch,1.9703181266784668,adamax,0.04520234621503043,512,0.999,1e-06,16,512,64,4.784833128975077
64,64,64_0,COMPLETED,BoTorch,0.7146740958094597,adamax,0.1,128,0.999,1e-06,32,512,1024,5.155246982922596
65,65,65_0,COMPLETED,BoTorch,0.10666980240494013,adam,0.025061627566785094,128,0.999,0.1,16,32,1024,1.7101583536055693
66,66,66_0,COMPLETED,BoTorch,0.1686092420846601,adam,0.006504272446279521,64,0.0,0.1,16,32,1024,4.053118172302163
67,67,67_0,COMPLETED,BoTorch,0.065985352180566,adam,0.00020012311113758418,32,0.0,1e-06,16,16,64,6.718796720248349
68,68,68_0,COMPLETED,BoTorch,1.239806306210293,adamax,0.0008658416836210698,32,0.999,1e-06,128,256,64,9.248148178343152
69,69,69_0,COMPLETED,BoTorch,0.07451280429959298,adam,0.0004588816499308962,128,0.0,5.1600078357902854e-06,16,16,64,6.520355138966608
70,70,70_0,COMPLETED,BoTorch,0.049643654993195445,adam,0.0038099168198141003,32,0.0,0.0010834582692959096,16,16,64,10.0
71,71,71_0,COMPLETED,BoTorch,0.10954268578487107,adam,0.0036516865591058713,64,0.0,0.1,16,16,256,6.178798456931144
72,72,72_0,COMPLETED,BoTorch,0.05783354773928848,adam,0.020649879271886558,64,0.999,0.1,16,16,1024,1.6821152617243673
73,73,73_0,COMPLETED,BoTorch,0.5616237252950669,adamax,0.1,256,0.999,0.1,16,16,1024,4.775528759456426
74,74,74_0,COMPLETED,BoTorch,0.10667063637523894,adamax,0.005086877967921427,32,0.0,1e-06,16,16,64,10.0
75,75,75_0,COMPLETED,BoTorch,0.10275870948275433,adamax,0.04873106663412872,64,0.5238118380131982,1e-06,32,64,64,6.824821340905138
76,76,76_0,COMPLETED,BoTorch,0.10496236716106438,adamax,0.02714419474737751,32,0.6182207702005141,1e-06,16,16,64,6.412812832184792
77,77,77_0,COMPLETED,BoTorch,0.33468320739420154,adamax,0.03692606727213656,64,0.1725181791470515,1e-06,16,128,64,6.318978609149771
78,78,78_0,COMPLETED,BoTorch,0.09239548699388021,adam,0.005453046066969075,64,0.999,1e-06,64,64,64,7.697118763356091
79,79,79_0,COMPLETED,BoTorch,0.16035723535320426,adamax,0.06976056794847438,64,0.999,1e-06,16,16,64,5.088878051190713
80,80,80_0,COMPLETED,BoTorch,0.049516654555584974,adam,0.012689306567931685,32,0.0,1e-06,16,16,64,8.999194141930664
81,81,81_0,COMPLETED,BoTorch,0.06457918675936711,adam,0.006713963824982543,32,0.6480754260837938,1e-06,256,64,64,9.81631103580067
82,82,82_0,COMPLETED,BoTorch,0.0583560443512953,adam,0.040748015373636266,32,0.0,1e-06,16,128,64,5.54349475098125
83,83,83_0,COMPLETED,BoTorch,0.11360154338652574,adam,0.0005491799072242888,64,0.999,1e-06,16,128,64,7.001169823847845
84,84,84_0,COMPLETED,BoTorch,0.29127915901473805,adam,0.0010630967089126887,64,0.999,1e-06,32,512,256,5.801328262835856
